#Boxplots d'expressions du gène ASXL1 en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney U : U = 32865.000, p-value = 0.002
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2681       n        5.649931
BA2248       n        5.925135
BA2832       y        6.189502
BA2308       y        6.176416
BA2413       y        6.215397
BA2701       y        5.578958
BA2634       y        5.890481
BA2937       y        5.869402
BA2600       n        5.608414
BA2019       n        6.158350
BA2412       y        5.601562
BA2334       y        6.112940
BA2050       y        6.102773
BA3230       y        5.959386
BA2481       y        6.104974
BA2731       y        5.407026
BA2418       n        5.828196
BA2294       y        6.307407
BA2816       n        6.349231
BA2814       y        5.406259
BA2631       y        6.026987
BA2023       n        5.647272
BA2375       n        5.978121
BA2485       n        6.443242
BA2455       n        5.555868
BA2636       y        5.803766
BA2325       y        5.621162
BA2169       n        6.580287
BA2156       y        6.286421
BA2511       y        6.644117
BA2168       y        6.068855
BA2505       n        5.992737
BA2860       n        5.016315
BA2871       n        5.040682
BA2655       n        6.194380
BA2227       n        6.068013
BA2812       y        5.862524
BA2125       n        6.189050
BA2603       y        5.928753
BA2808       n        6.249128
BA2282       n        5.835609
BA2482       y        5.696461
BA2822       y        6.366009
BA2594       y        5.797580
BA2747       y        5.992306
BA2561       n        5.875807
BA2094       n        5.565961
BA2567       n        6.669439
BA2906       n        6.039384
BA2956       y        6.166520
BA2474       y        5.996458
BA2065       y        6.265176
BA2737       y        5.720614
BA2463       y        5.757194
BA2110       y        5.608414
BA2992       y        5.944313
BA2220       y        6.196470
BA2720       y        6.574076
BA2063       n        6.977949
BA2772       n        6.088359
BA2935       n        5.834835
BA2260       y        5.550258
BA2787       n        5.245756
BA2676       y        6.118052
BA2948       n        6.093454
BA3296       y        5.715531
BA2524       y        5.757569
BA2811       n        6.200505
BA2540       y        5.750230
BA2928       y        5.548409
BA2302       y        6.560655
BA2792       n        5.778450
BA2651       y        6.324087
BA2595       n        5.708366
BA2619       n        6.303268
BA3013       n        5.886440
BA2405       n        6.491521
BA2856       n        6.235336
BA2377       y        6.013736
BA2499       y        6.074380
BA3023       n        6.137256
BA2095       y        6.307882
BA2275       n        5.838418
BA2901       y        5.835228
BA2221       n        6.065521
BA2387       y        5.755288
BA2657       n        5.899190
BA2962       y        5.628285
BA2195       y        6.035238
BA2688       n        6.839193
BA2420       n        6.193455
BA2727       y        6.291374
BA2756       n        6.276948
BA2122       y        5.653358
BA2053       y        5.989179
BA2080       y        6.245927
BA2415       n        5.500182
BA2081       n        6.024965
BA2354       y        6.086663
BA3273       y        6.019124
BA2893       y        5.973614
BA2044       n        5.854629
BA2309       y        6.281400
BA2489       y        6.375476
BA2908       n        6.271580
BA2054       n        5.640115
BA2872       y        5.788157
BA2526       n        6.240132
BA3145       y        6.324985
BA2041       n        6.472289
BA2096       y        6.214105
BA2464       n        6.268811
BA2902       n        5.969076
BA2541       y        6.019124
BA2143       n        6.047757
BA2769       n        5.863412
BA2843       y        6.610066
BA2497       y        5.819597
BA2718       y        6.205253
BA2575       y        5.472842
BA2593       y        7.159520
BA2791       y        6.198750
BA2620       y        5.461143
BA2629       y        6.747271
BA2870       n        6.140267
BA2423       n        5.865363
BA2682       n        5.963861
BA2276       n        5.936111
BA2348       y        5.622333
BA2709       y        5.675831
BA2789       y        6.121804
BA2694       y        6.604218
BA2722       y        6.058224
BA2538       n        6.746126
BA2583       y        6.661190
BA2292       n        6.511546
BA2806       y        6.023710
BA2153       n        6.218024
BA2674       y        6.017842
BA2809       y        6.151014
BA3025       y        6.079063
BA2523       y        6.023285
BA3027       y        6.304646
BA2441       y        6.364672
BA2514       y        6.602097
BA2695       y        5.818396
BA2520       y        6.548755
BA2479       n        7.276367
BA2281       n        6.521706
BA2932       y        6.152702
BA2123       n        6.735277
BA2844       y        6.362275
BA2660       y        5.894006
BA2836       y        6.251792
BA2714       y        5.697580
BA3317       y        6.105806
BA2440       y        6.271580
BA2036       y        6.400255
BA2828       n        5.497259
BA2251       y        6.312516
BA2952       y        5.884062
BA2410       n        6.260333
BA2139       y        5.399293
BA2051       n        5.948369
BA2532       y        6.370320
BA2986       n        6.520210
BA2494       n        6.572472
BA2515       y        6.175983
BA2748       y        6.379758
BA2577       y        6.287793
BA2622       n        6.135972
BA2758       y        6.075202
BA2930       y        5.814821
BA2970       y        6.029371
BA2839       y        6.416519
BA2868       y        6.028195
BA3011       y        6.356274
BA2052       y        7.047751
BA2510       n        5.817263
BA2691       n        5.853818
BA2374       n        6.287793
BA2804       y        6.053620
BA2670       y        5.679244
BA2675       y        5.994370
BA2031       y        5.688724
BA2589       y        6.718375
BA2198       n        5.851825
BA2066       y        5.379287
BA2344       y        5.683056
BA2534       n        6.101054
BA2459       n        6.932195
BA2229       y        6.847192
BA2559       y        6.060781
BA2093       y        7.155572
BA2000       y        5.886062
BA2425       y        5.991127
BA2905       n        6.474269
BA2304       y        5.365848
BA2976       y        5.978522
BA2386       y        6.118052
BA2879       y        6.258969
BA3400       y        6.314925
BA2035       y        6.429540
BA2760       n        5.889614
BA2201       y        5.773700
BA2355       n        6.665644
BA2113       y        6.189502
BA2155       y        6.823091
BA2955       y        5.969459
BA2502       y        5.704524
BA2322       y        5.617807
BA2020       n        6.300502
BA2226       y        5.652590
BA2376       y        5.469905
BA2200       y        6.008417
BA2121       y        6.054487
BA2944       y        6.235336
BA2033       y        5.989179
BA2867       y        6.531455
BA2089       y        5.422349
BA2034       y        6.105806
BA2224       n        5.998499
BA2470       y        5.958490
BA2046       n        6.500025
BA2972       y        5.960230
BA2978       y        5.694493
BA2829       y        5.756061
BA2579       n        6.501525
BA2249       y        6.048987
BA2851       y        5.965056
BA2587       n        5.708722
BA2461       n        5.929177
BA2024       n        5.520611
BA2623       y        6.022459
BA2426       n        5.688724
BA2271       y        5.734011
BA3004       y        6.330465
BA3010       y        5.823924
BA2662       y        5.591742
BA2280       y        5.920770
BA2277       y        5.891244
BA2658       y        5.771822
BA2512       y        5.456746
BA2394       y        6.076956
BA2950       y        5.796034
BA2981       y        5.847880
BA2934       n        5.958911
BA2539       n        5.571169
BA2786       y        5.696831
BA2256       y        5.807322
BA2483       y        5.667403
BA3002       y        5.534627
BA2109       y        5.588367
BA2242       y        6.073057
BA2132       y        6.020772
BA2618       y        5.577842
BA2846       n        5.996055
BA2521       y        5.716695
BA2885       y        5.466636
BA2639       y        5.922745
BA2775       y        5.925135
BA2402       y        6.055296
BA2097       y        6.122619
BA2399       y        5.958490
BA2850       y        5.894006
BA2993       n        5.745108
BA3322       n        6.466335
BA2174       y        5.692956
BA2004       n        6.024128
BA3001       y        6.195219
BA2911       n        6.048565
BA2311       y        5.722908
BA3040       y        6.402641
BA2724       y        5.717142
BA2837       y        5.759875
BA2821       y        5.930390
BA2363       y        5.746658
BA2233       y        6.241009
BA2744       y        6.041549
BA2501       y        6.060367
BA2301       n        5.919535
BA2880       y        5.689866
BA2621       y        5.847102
BA2852       n        6.692479
BA2133       y        6.576701
BA2473       y        6.461362
BA2866       n        6.265616
BA2212       y        6.118052
BA2477       y        6.054889
BA2244       y        5.439525
BA3089       y        6.021193
BA2685       n        6.601066
BA2273       n        6.362769
BA2659       y        5.700325
BA2124       y        6.198750
BA2369       y        6.169930
BA2400       y        6.258969
BA2762       y        5.788157
BA2312       y        5.870962
BA2813       y        5.846698
BA2211       y        6.401220
BA2171       y        6.245927
BA2746       y        5.576753
BA2798       n        6.370797
BA2883       y        6.610066
BA2288       n        6.542553
BA2801       y        5.785778
BA3407       y        6.235336
BA3030       y        5.776493
BA2588       y        6.135972
BA2296       y        6.074793
BA2300       y        5.909681
BA2903       y        5.305617
BA2545       n        5.780399
BA2840       y        6.166520
BA2528       n        6.040210
BA2646       y        6.125940
BA2240       y        5.777282
BA2926       n        5.872601
BA2272       y        5.642031
BA2306       y        5.862101
BA2842       y        5.826978
BA2855       y        6.051521
BA2040       y        5.990727
BA2765       y        5.583456
BA2904       y        5.851825
BA2726       n        5.551340
BA2234       y        5.597759
BA2022       y        6.131657
BA2228       y        6.336008
BA2037       y        6.361822
BA2184       y        6.314442
BA3009       y        6.366952
BA2442       y        5.963453
BA2882       y        5.591377
BA2656       y        6.263388
BA2705       n        5.976485
BA2379       y        6.129915
BA2663       y        5.735529
BA2570       y        6.455999
BA2764       y        6.098089
BA2209       y        7.364358
BA2989       y        6.639156
BA2261       y        6.091741
BA2721       y        5.503152
BA2728       n        5.968239
BA2715       y        6.701940
BA2116       y        6.436905
BA2469       y        5.809712
BA2269       y        5.639741
BA2098       y        5.910841
BA2951       y        5.987476
BA2778       y        5.304224
BA2163       n        5.987924
BA3153       y        6.449954
BA2817       y        6.857074
BA2820       y        5.486858
BA2704       y        6.417539
BA2723       n        6.213169
BA2492       y        5.648785
BA2088       n        6.458477
BA3202       n        6.487059
BA3139       y        6.017842
BA3285       y        6.123860
BA2584       y        5.867812
BA3079       y        6.253112
BA2417       y        6.202273
BA2361       y        6.244572
BA2450       y        6.055296
BA2994       y        5.747402
BA2824       y        6.012157
BA2079       y        5.225006
BA3099       y        6.005993
BA2552       n        6.073499
BA2472       y        5.898407
BA2047       n        6.179899
BA2101       n        6.591485
BA2082       y        5.962644
BA2456       y        6.304181
BA2175       y        6.197769
BA2507       y        5.969878
BA2563       y        5.932938
BA3164       y        6.194380
BA3235       y        5.237108
BA2984       y        6.191204
BA2414       y        5.834835
BA2697       y        5.606563
BA2999       y        6.000932
BA2644       n        5.513828
BA2011       y        5.652590
BA2217       y        6.198221
BA2454       y        5.960636
BA2776       y        6.128172
BA2218       y        6.312054
BA2135       y        6.322673
BA2914       y        5.544315
BA2500       y        5.823924
BA2406       n        5.855422
BA2830       y        5.936111
BA2353       y        6.153112
BA3108       n        6.390739
BA2924       y        5.654115
BA3192       y        6.046479
BA2303       y        5.614781
BA2160       y        6.076539
BA2590       y        6.006382
BA3195       y        6.435903
BA2516       y        5.947572
BA3036       y        5.903960
BA2971       y        5.978906
BA3410       n        5.907207
BA3118       y        5.844688
BA3206       y        6.298717
BA3217       y        5.464101
BA3405       n        5.670507
BA3306       y        5.867812
BA3371       n        6.263857
BA3413       n        6.164792
BA3411       y        5.817263
BA3133       y        6.203989
BA3451       y        5.467341
BA3286       y        5.686468
BA3221       n        5.879657
BA3212       y        6.917333
BA3103       n        5.832566
BA3271       y        5.848265
BA3152       y        5.995208
BA3095       y        6.104086
BA3251       y        5.765687
BA3362       y        5.846698
BA3135       y        5.961420
BA3408       n        6.981380
BA3187       y        6.075640
BA3098       y        5.722516
BA3435       n        6.182518
BA3261       y        6.071822
BA3203       y        5.784593
BA3174       y        6.084050
BA3299       y        6.018679
BA3347       y        5.753024
BA3126       y        5.321640
BA3380       y        5.655227
BA3114       y        6.176416
BA3109       y        5.944313
BA3452       y        6.066810
BA3418       y        6.513025
BA3245       y        6.222847
BA3085       n        6.129474
BA3128       y        5.892036
BA3423       y        6.447567
BA3173       n        6.208256
BA3171       y        6.149346
BA3277       y        6.552856
BA3210       y        6.811458
BA3157       y        5.965056
BA3433       y        6.250915
BA3374       y        5.447902
BA3403       y        5.428936
BA3222       y        5.679635
BA3450       n        6.415555
BA3167       y        5.847102
BA3269       n        6.105384
BA3110       y        6.570960
BA3156       n        6.565838
BA3226       y        6.116336
BA3421       y        5.998073
BA3232       y        5.935343
BA3289       y        5.993142
BA3430       n        5.959833
BA3399       y        6.024562
BA3384       y        5.811616
BA3427       n        6.163915
BA3449       y        6.213634
BA3163       y        5.682680
BA3158       y        6.194380
BA3436       y        6.436391
BA3154       y        6.210132
BA3162       y        5.983435
BA3352       y        6.258969
BA3084       y        5.773314
BA3149       n        6.185072
BA3169       y        5.792823
BA3180       n        6.033636
BA3255       y        5.789337
BA3438       y        5.116383
BA3345       y        6.112940
BA3431       y        5.609884
BA3181       y        5.766476
BA3341       y        6.151014
BA3191       y        5.560000
BA3197       y        6.161411
BA3448       y        6.193455
BA3453       n        6.145472
BA3406       y        6.080281
BA3308       y        6.300502
BA3186       y        6.577207
BA3334       y        6.323144
BA3447       n        6.221570
BA3116       n        5.586828
BA3280       n        6.166094
BA3185       y        6.489522
BA3094       y        5.179504
BA3318       y        5.781152
BA3216       y        5.918741
BA3332       y        6.497996
BA3214       y        6.321266
BA3141       y        6.252653
BA3373       y        6.363262
BA3319       y        5.561121
BA3328       y        5.915548
BA3240       y        6.357135
BA3142       y        6.559655
BA3339       y        6.657378
BA3333       y        6.171214
BA3381       y        5.764884
BA3290       y        5.856950
BA3207       y        5.476158
BA3305       y        5.939830
BA3434       y        5.996852
BA3189       y        5.837568
BA3264       y        6.254452
BA3329       y        6.610066
BA3417       y        6.119716
BA3367       y        5.500553
BA3225       y        5.486858
BA3183       y        6.031110
BA3397       y        6.381191
BA3311       y        5.531302
BA3175       y        5.635138
BA3422       y        6.213169
BA3228       y        5.940210
BA3213       y        5.633594
BA3415       y        6.009212
BA3270       y        5.796034
BA3324       y        6.083622
BA3194       n        6.221570
BA3335       y        6.048565
BA3199       y        6.129041
BA3326       y        5.562567
BA3297       y        6.048565
BA3227       y        6.343221
BA3394       y        5.785415
BA3412       y        5.740906
BA3293       y        6.203563
BA3250       y        5.890034
BA3177       y        5.724413
BA3315       y        6.597852
BA3182       y        5.748226
BA3260       y        5.792436
BA3369       y        5.705662
BA3078       y        5.928753
BA3386       y        6.050256
BA3445       y        5.918355
BA3176       y        6.275120
BA3258       y        5.675463
BA3446       y        6.117607
BA3295       y        5.596998
BA3283       y        6.255841
BA3390       y        5.622708
BA3275       y        6.025373
BA3136       y        5.536491
BA3190       y        6.277841
BA3234       y        5.369020
BA3087       y        5.968239
BA3454       y        5.761410
BA3302       y        6.279632
BA3242       y        5.946413
BA3117       y        6.372157
BA3083       y        5.755688
BA3266       y        5.946413
BA3268       y        6.404547
BA3229       y        5.787742
BA3138       y        5.714787
BA3388       y        5.748612
BA3353       y        6.225453
BA3312       y        6.095158
BA3119       y        6.261181
BA3219       y        5.630167
BA3351       y        6.310690
BA3357       y        6.121804
BA3208       y        6.255841
BA3310       y        6.107877
BA3200       y        6.168240
BA3325       y        5.980979
BA3146       y        5.671271
BA3211       y        4.920744
BA3237       y        5.789705
BA3130       y        5.792823
BA3376       y        6.000932
BA3137       y        5.845090
BA3300       y        6.276035
BA3375       y        6.200987
BA3249       y        6.260333
BA3385       y        5.886440
BA3416       y        6.172091
BA3123       n        6.129041
